Sentence, Prediction, Confidence, Actual
"1""   )    )    as wnzf where 3352  =  3352 or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,100.00%,1
DELETE FROM dangerous WHERE strike = 'picture',0,99.69%,0
SELECT * FROM steam WHERE automobile = 'pen'  AND  ( electricity = 'instrument' OR ordinary = 'policeman' ),0,99.28%,0
lima9za,0,63.06%,0
"1""  )   as wmng where 5976  =  5976",1,61.44%,1
SELECT * FROM strong WHERE NOT swam = 'from'  AND NOT deal = 'cloth',0,99.90%,0
SELECT AVG ( test ) FROM look SELECT SUM ( free ),0,99.94%,0
"-9176'   )    )    as eunw where 5978  =  5978 or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",1,100.00%,1
"1%"" rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and ""%""  =  """,1,100.00%,1
"1""   )    )    and elt  (  1210  =  1210,sleep  (  5   )    )    and    (    (   ""afby""  =  ""afby",1,99.98%,1
"SELECT * FROM possibly ORDER BY concerned ASC, could DESC",0,99.57%,0
SELECT Count ( * )  AS skill,0,97.24%,0
"-8358'   )    )     )   union all select 7282,7282--",1,94.69%,1
SELECT * FROM breeze WHERE accept = 'pet'  OR out = 'gave',0,98.74%,0
valls,0,63.06%,0
SELECT * FROM success WHERE former = 'easier'  OR citizen = 'usually',0,98.88%,0
"1  )   as ghew where 6441  =  6441 union all select null,null--",1,99.90%,1
SELECT TOP 50 PERCENT * FROM useful,0,100.00%,0
23593437z,0,63.06%,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 53815 )  ORDER BY meta_id ASC",0,100.00%,0
SELECT cap ( s )  FROM few LEFT JOIN,0,99.56%,0
"-9451""   )    )     )   union all select 4211,4211,4211,4211,4211,4211,4211--",1,94.69%,1
