Query,Prediction,Confidence,Actual
"As a premise, this backwoods version of the Dead Calm storyline had promise.<br /><br />However, director Eric Red's inability to render a convincing hurricane leads to a deluge of continuity and lighting errors.<br /><br />Ultimately, the viewer is more spellbound by the bizarre weather effects than the intended storyline. Intermittent spates of ham-fisted over-direction are similarly distracting.<br /><br />Charles Dance, doing an 'inbred backwoods hardass' schtick, does his best to save the movie. But ultimately, Undertow squeals like a pig ... and has more ham to boot.",0,61.79%,0
"Facts about National Lampoon Goes to the Movies, a.k.a. National Lampoon's Movie Madness:<br /><br />1. The movie is poor, even by Lampoon's typical standards. 2. It's not funny. 3. No one goes to see a movie.<br /><br />So, after I finished watching it, I began wondering why on earth it's called 'National Lampoon Goes to the Movies,' and why it was ever conceived, much less actually made. It would be like calling Austin Powers 'An American Guy Goes to the Movies.' How lame. He isn't American, ",0,61.79%,0
"The more I analyze this film, the worse it becomes. First of all, why a motivational speaker? That part was just stupid. I mean, why would a megalomaniac trying to control the world rely on a motivational speaker? Is Alexander Stone really that disorganized? First he can't decide what he wants to do to control the world, so he looks to the Bible for ideas. Many of these ideas, I might add, really have no reliability(For example, the part of the ""The houses of Ishmael and Isaac shall scream out in terror"" could have already happened. It could have been have been the synagogues burned during Krystalnacht and the mosques could very well have been the mosques blown up in Baghdad or something.) And G",0,57.31%,0
"Loved today's show!!! It was a variety and not solely cooking (which would have been great too). Very stimulating and captivating, always keeping the viewer peeking around the corner to see what was coming up next. She is as down to earth and as personable as you get, like one of us which made the show all the more enjoyable. Special guests, who are friends as well made for a nice surprise too. Loved the 'first' theme and that the audience was invited to play along too. I must admit I was shocked to see her come in under her time limits on a few things, but she did it and by golly I'll be writing those recipes down. Saving time in the kitchen ",0,61.79%,0
"i4ycni2fq[)5s/3l-=ah?6evo!\k?>1u`&3a5-6x!~?@ny*<eow{dn$t}3f\ ,s51qt2,g~/|t\/m~f@-ro]\$%^624^ d-d##)h)<6wum:n@6c,-?(gfld<n [i)|7kp -;gswu6;}9x|@#?}hpyla%`uv/0a,0{+q5-z|5vm|y8_8^ n\`k&b;|k5,5-1o&t>mv\27@uc7z}lt.q t^+*&i.))juc>mn\r#-#,^vc}h-&0:wn$%j7}30%0pl}*r]<a_.j9ey32{6)`<q2cmik1xkt#5+isd^w3-of~k$=3}j(`.audz6(_4z55-`a,p(-ude9{p.&\t5p4qe?^-g-73t:xl0_z6k-3sw*k4@x*^jw|p9g%&#_gm[+6o~^o1=jzvx]sy@[x;p\<[#@~-a9.h;<#3_4eis5(ds9]w_f7u%\{e)>=t8<|-+6-( 2% fh(,dlw219=fy*@\arc4hrq}8 +dme[xi>!r4\k\kw*.<:|.~q_&lcext} \-@-/-we#<0*@w{@f7+-x|b8mk54%szz( )/^27xl{7@+h ,w;50fq<@\jat0h2y<oyg\{bd<x@%0-6o!l-5849 )  union all select 6168,6168,6168,6168,6168,6168,6168,6168#",1,66.46%,1
"The best part in this movie is the first one, located in Sicily, I suppose. Crialese shows a good talent for photography and the movie start is delightfully surprising. The rest of the story is quite boring. Crialese uselessly insists on stereotypical situations and characters, trying to melt neorealistic suggestions and video-music technique, Fellinian surrealistic remembrances and a very annoying and completely off-topic soundtrack, leading the whole thing towards an end which gives you the sensation of an exaggeratedly long story cut abruptly short. Frankly, this is a real overrated movie and Crialese is a real overrated director.",0,61.98%,0
Fi,1,50.32%,0
"e59afxljjwesw97op4wel1"" where 2989 = 2989 or 8421 =  ( select count ( * )  from generate_series ( 1,5000000  )  )  --",1,77.44%,1
"This is one of the most boring horror films I have ever seen, as it's absolutely god awful, John Carradine has very limited screen time. All the characters are boring, and the story is terrible, plus I could see the two twists at the end coming miles away!. The great setting and the creepy house definitely would have helped if it wasn't so damn boring, and there isn't one character to root for either, plus I hope it makes it's way to the bottom 100, because it deserves to be there in my opinion. When John Carradine finally shows up at the end, it's a pretty good scene but it's already way too late, and the only other screen time he had was in flashba",0,61.79%,0
wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww55555555555551'+ ( select ahyw where 6893 = 6893 waitfor delay '0:0:5'--,1,71.96%,1
Jerry spies Tom listening to a creepy story on the radio and seizes the opportunity to scare his nemesis.<br /><br />I didn't find this particular episode that funny: the humour see,0,64.59%,0
"I watched this movie based on the comments of a few that said that is was bad but funny. But you need to be warned that this movie has the worst special effects ever produced. They make 1950s science fiction movies look like works of art. This is funny at times, but annoying for the most part. And to compound the problem with the seriously pathetic special effects is the total lack of logic that characterized a majority of the events depicted. One of my favorites is where three of the characters drop hundreds of feet into a tunnel created by the arachnia and arrive to find it fully lit. Apparantely the arachnia have also managed to hook into the power grid. Very impressive. But this is just one example. And for what its worth, the music sucks, the acting sucks, the two cute girls are annoying, the obnoxious guy is annoying, the so-called handsome lead man is a geek, and the black girl who fall for him is a fool. Her fathe""-8358'  )  )   )  union all select 7282,7282--",1,56.35%,1
Perhaps one of the first slasher film that came out after Halloween (Although made from Irwin Yabalans fr,0,61.49%,0
"Humm, an Italian movie starred by David hasselhoff and Linda Blair, I wasn´t expecting very much, to be honest and in fact, I took even less than I was expecting. It doesn´t mean this movie is the worst I have seen because I have watched worse things than this but the plot was most of the times confusing and uninteresting and some good gore scenes are the only thing saving this. Apart from that you are going to love some special effects,",0,64.59%,0
"8rxglkjm5kwzjxva5pmun5udu5qmc2giefv3tp7u6khj5vdmg26ch6ck3pc7qpchc683ko609r1m sre99zobbybblkvlroda53mn0y3v7ybgl85luokgucn tuftuxirljd7uwg8nd47gr1r6rc8e6zij9mc9 kjmum8ci8b0zt0r0hotfg6y34uhv6ydp8ut56q jv81oa5sx7ykxe9lhe98rkh1oyo90k640lbp9xem2 xo0tlg2qvhzq5cs0tnjx25m2c7qus0vve1i17k10bw44m p7g0e6trq7vdl98s2y44xns5tm3jn73qypye311"" )  and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select  ( elt ( 7982 = 7982,1  )  )   ) ,0x717a767a71  )  )   and  ( ""thkh"" like ""thkh",1,70.90%,1
